228,Avoiding a Collision Course With India,"Raja Mohan, an influential Indian scholar, believes that the U.S. 
withdrawal can “accelerate current trends in India's relations with the 
United...",War on the Rocks,12 Sep 2021,India
229,India says it accidentally launched a missile into Pakistan,"... to a full-out war in 2019, when both launched airstrikes across the 
Line of Control, the de facto border between India and Pakistan.",DW,11 Mar 2022,India
230,"Too early to predict impact of Russia-Ukraine war on Indian economy: Pinaki 
Chakraborty","Chakraborty, the director of the National Institute of Public Finance and 
Policy (NIPFP), said India's current macroeconomic situation is...",The Economic Times,1 month ago,India
231,India's Response to the Ukraine Crisis Is a Wake-up Call for ...,"India's stance on the Ukraine war reflects the tremendous domestic ... in 
U.S. military assistance to India during the 1962 Sino-Indian war,...",The Diplomat,1 month ago,India
232,UK company report alleges ‘war crimes’ in J&K,"A complaint against the Indian Army, ministers and senior officials was 
also passed on to the Metropolitan Police war crimes unit calling for an...",Times of India,20 Jan 2022,India
233,India Is Not Sitting on the Geopolitical Fence,"David Petraeus and S. Jaishankar, now India's external affairs ... view — 
shaped by India's stated non-alignment during the Cold War — that...",War on the Rocks,27 Oct 2021,India
234,The Lesser-Known Border Dispute: China And India,"War broke out in October 1962, with the PLA pushing Indian forces back. 
Following international pressure to end the war, the countries...",Forbes,21 Feb 2022,India
235,Russia-Ukraine: How will Indian Markets Deal with a War?,"Russia-Ukraine: How will Indian Markets Deal with a War? · Two months into 
the year find financial markets in a tricky space. · Here in India,...",The Wire,24 Feb 2022,India
236,"India and the Bangladesh Liberation War review: The question of grand 
strategy","Nevertheless, Dasgupta's book is a masterclass on India's role in the 
Bangladesh liberation war and must be read by every observer of Indian...",The Hindu,5 Mar 2022,India
237,Biden calls India's response to Russia-Ukraine war 'shaky',"Russia-Ukraine war news updates: President of the United States Joe Biden 
has said that India has been ""shaky"" in its response to the...",India Today,1 month ago,India
238,There’s no such thing as ‘Just War’,"No hegemonic war can be called 'just' by any stretch of the imagination. 
... With a Russia-China-Pakistan axis forming, India has got a dog...",The New Indian Express,13 Mar 2022,India
239,"As Ukraine war heats up, cooking oil prices to rise","As Ukraine war heats up, cooking oil prices to rise. India consumes around 
2.5 million tonnes (MT) of sunflower oil annually. That makes it the...",The Indian Express,25 Feb 2022,India
240,"Without Cold War competition, India would not have had such ...","India's continuing economic and military links with Russia can be directly 
traced back to the first decade after independence. As the Cold War...",Moneycontrol,1 month ago,India
241,Russian legislator of Bihar origin backs Putin's Ukraine war,"An Indian-origin Russian legislator has backed Putin's war on Ukraine. 
Russian President Vladimir Putin applauds during a ceremony opening the...",Quartz,2 Mar 2022,India
242,"Sensex yo-yos over 1,000 points on war fears","MUMBAI: Escalation of geopolitical tensions on the Ukraine-Russia border 
impacted investor sentiment on Dalal Street on Tuesday with the...",Times of India,23 Feb 2022,India
243,1971 war against Pakistan: The making of Indian victory,"One of the primary reasons for the quick and resounding Indian victory was 
the ... Manekshaw advised that India must delay going to war with...",The New Indian Express,29 Nov 2021,India
244,Russia-Ukraine war to hit India’s economy! What should D-St investors do?,"India, though is better equipped, is certainly not immune to these events. 
According to third-quarter GDP statistics, Indian industry grew at a...",The Economic Times,12 Mar 2022,India
245,"India cancelled orders of Russian jets, weapons: US official at Senate 
hearing","Asked specifically if, in view of India's abstentions, the Biden 
Administration was considering invoking CAATSA sanctions on Delhi for...",The Indian Express,4 Mar 2022,India
246,Don't Let Putin's War in Ukraine Damage U.S.-India Ties,"The U.S. government should recognize the complex India-Russia relationship 
for what it is: a relic of the Cold War, under duress and showing...",The Heritage Foundation,1 month ago,India
247,1971 India: ‘My heart tells me he is out there somewhere’,"The story of the ace Indian Air Force pilot shot down over Pakistan during 
the 1971 war. Photo of Wing Commander Hersern Singh Gill [Photo...",Al Jazeera,16 Dec 2021,India
248,Why Ukraine war may do the unthinkable: Revive Rahul Gandhi’s fortunes,"Besides, can anyone want India to become an international pariah like 
Russia? Or to have the Indian government and financial system sanctioned?",Times of India,26 Feb 2022,India
249,"War in Ukraine: India at UN Strikes Balance between Strategic Interests and 
Principles","While this conflict is not central to India's interests, there has been 
some disappointment and even ire as to why New Delhi has avoided public...",News18,1 month ago,India
250,A journey to fraught India-China border pass near Tawang,"The region has been a witness to the 1962 India-China war – and China's 
continuing interest in the region keeps it on the edge.",The Indian Express,17 Dec 2021,India
251,India Has Its Own Ideas About Russia and Ukraine,"The end of the Cold War and the collapse of the Soviet Union allowed New 
Delhi to hold onto its past relationship with Moscow while expanding...",Foreign Policy,7 Feb 2022,India
252,"Russia-Ukraine war HIGHLIGHTS: Putin's troops push toward Kyiv; India to 
attempt more evacuations; oil above $","This article is more than 2 month old. Russia-Ukraine war HIGHLIGHTS: 
Melitopol city captured by troops; fighting on streets of Kyiv; Air India...",CNBC TV18,28 Feb 2022,India
253,‘Muslim genocide calls can lead to civil war in India’,"NEW DELHI: India's former navy chief and a former chairman of the Chiefs of 
Staff Committee Admiral Arun Prakash has said that calls of...",The News International,10 Jan 2022,India
254,"Russia-Ukraine War Highlights: Quad countries accepted India's position on 
conflict in Ukraine, says Australia","Russia-Ukraine War Highlights: Quad countries accepted India's position on 
conflict in Ukraine, says Australia. Profile image. By CNBC-TV18 |...",CNBC TV18,1 month ago,India
255,"India won direct war in 1971, it will also win indirect war against 
Pak-induced terrorism: Rajnath Singh","The Indian armed forces defeated Pakistan's plans in the 1971 war and they 
are currently working to uproot the menace of terrorism, Rajnath...",CNBC TV18,12 Dec 2021,India
256,"West won't stop at destroying Russia; India will be next: Donetsk 
representative on Russia-Ukraine war","Russia-Ukraine war news: In an exclusive interview with India Today, Eduard 
Aleksandrovich Basurin, the official representative of the...",India Today,1 month ago,India
257,"Explained: How Ukraine War, An ""Economic Catastrophe"", Will Hit Pockets","The chief of the World Bank has said that the war in Ukraine is a ""economic 
catastrophe"" for the ... Will fuel prices be raised in India?",NDTV.com,4 Mar 2022,India
258,Indians reluctant to denounce Russian ‘brothers’ over Ukraine,"But with wall-to-wall coverage of the war in Ukraine on television ... He 
grew up in the 1950s and 60s when India and the Soviet Union were...",The Guardian,1 month ago,India
259,View: Why India's pragmatic approach to the Russia-Ukraine war makes sense,"Where does India stand? The point of the above historical soliloquy was to 
highlight the fact that the Russia-Ukraine war is, to put it simply...",CNBC TV18,4 Mar 2022,India
260,"What India Needs To Do To Deal With the Consequences of the Russia-Ukraine 
War","War has immediate consequences for global trade, capital flows, financial 
markets and access to technology. Sanctions being imposed on Russia by...",The Wire,26 Feb 2022,India
261,Centre looks to build brand around National War Memorial,"... wars and operations, and was inaugurated in 2019 to fill a key gap -- 
until then, India did not have a memorial for its fallen heroes.",Hindustan Times,21 Jan 2022,India
262,What Is India Doing in Ukraine? by Shashi Tharoor,"The Ukraine war has exposed India's strategic vulnerabilities as arguably 
nothing else could. Paradoxically, the conflict has also increased...",Project Syndicate,1 month ago,India
263,"If the conflict dissolved tomorrow, I would buy Indian shares and not US 
stocks: Marc Faber","We are seeing that war between Russia and Ukraine and the effect it has on 
the energy market. There's the new oil shock and that is impacting...",The Economic Times,8 Mar 2022,India
264,"Russia-Ukraine war: Indian IT industry’s new biz deals may face temporary 
pause","As the conflict between Russia and Ukraine is escalating, India's 
Information Technology (IT) service providers are on a wait-and-watch 
mode...",Business Today,3 Mar 2022,India
265,India hits a diplomatic dilemma over war in Ukraine,"India, once again, abstained. India's ties with Russia go back to 1971, 
when the Soviet Union backed India in its war with Pakistan. India did...",New Statesman,4 Mar 2022,India
266,Russia-Ukraine crisis: What a war could mean for the Indian economy,"Russia-Ukraine crisis: What a war could mean for the Indian economy. In 
case a conflict does break out, what will its repercussions be for India...",Hindustan Times,17 Feb 2022,India
267,Ukraine war: Indian students overcome adversity to reach Romania,"Ukraine war: Indian students overcome adversity to reach Romania ... 
“People from India felt that [the Ukrainian border authorities] were...",Al Jazeera,3 Mar 2022,India
268,The import (export) of the war for India,"At immediate risk is India's almost $10 billion bilateral trade with Russia 
and a quarter of that with Ukraine. Spread over other countries...",The Economic Times,1 Mar 2022,India
269,"India won 1971 war because every caste, religion came together: Rahul Gandhi","India won the 1971 war in just 13 days because every single person, caste 
and religion in the country came together to defeat Pakistan,...",The Indian Express,17 Dec 2021,India
270,This horrific war must end,"P Chidambaram writes: Why cannot India say that the war is unjustified? Why 
cannot India appeal to Russia to stop raining bombs on the...",The Indian Express,1 month ago,India
271,"India, China tug-of-war in Sri Lanka","There's a farcical note to the India-China tug-of-war playing out over Sri 
Lanka. A row over what Sri Lankans insist was substandard Chinese...",The Hindu Business Line,18 Jan 2022,India
272,China could use Russia’s cyber and hybrid war playbook against India,"In recent weeks, geopolitics experts and strategic thinkers in India have 
been focused on what the military standoff in Ukraine will mean...",Times of India,19 Feb 2022,India
273,"India, US know they need each other – after Russia war, China will be back 
front and centre","US Deputy NSA Daleep Singh warned India of 'consequences' because of its 
growing energy imports from Russia. But when the war is over,...",ThePrint,1 month ago,India
274,"Winning the narrative battle, but losing the war?","In this column, I want to highlight two issues flagged in my new book, JNU: 
Nationalism and India's Uncivil War before the decision makers...",The New Indian Express,7 Mar 2022,India
275,"Greatest diplomatic crisis for India since Cold War: Fareed Zakaria on 
Russian invasion of Ukraine","In an exclusive interview with India Today, Zakaria said, ""This is the 
greatest diplomatic crisis for India since the Cold War. India has to...",India Today,26 Feb 2022,India
276,"Ukraine war may affect India too, need to be alert: Dr Veerendra Hegde","Ukraine war may affect India too, need to be alert: Dr Veerendra Hegde. He 
said that going by the present scenario, it is too premature to know...",The New Indian Express,4 Mar 2022,India
277,"EU, India agree to broaden ties amid Ukraine war","European Commission President Ursula von der Leyen is on a two-day trip to 
India's capital, part of Western efforts to encourage New Delhi to...",Reuters,2 weeks ago,India
278,"Deep Dive | What does Pentagon's report say on China's 'two-pronged war' 
against India, Taiwan","China's conflicts with India and trespassing. The Pentagon report says that 
the PLA has had multiple skirmishes with the Indian army on the...",India Today,8 Nov 2021,India
279,"Data Recap: Ukraine War, India Gdp, Climate Change | Mint","This week we look at some of the financial and humanitarian costs of 
Russia's invasion of Ukraine, along with India's GDP numbers and GST...",Mint,4 Mar 2022,India
,Headlines,Summary,Press,Date,Keyword
0,Syria’s Assad meets top Iranian leaders in surprise Tehran visit,"Tehran, Iran – Syrian President Bashar al-Assad has held meetings with 
Iran's supreme leader and the country's president during a surprise...",Al Jazeera,1 day ago,Iran
1,Iran's foreign minister says Tehran 'against' Ukraine war,"Tehran is “against” the war in Ukraine and hopes for a political solution 
to the conflict, Iran's Foreign Minister Hossein Amir-Abdollahian...",The Times of Israel,1 day ago,Iran
2,"Trump sought strike on top Iran military figure for political reasons – 
Esper book","Key adviser Robert O'Brien told top general shortly before 2020 election 
that Trump wanted to kill unnamed official, according to Esper...",The Guardian,3 days ago,Iran
3,Iran is learning from Russia's use of missiles in Ukraine,"Russia's invasion of Ukraine has turned into the largest testing ground for 
ballistic and cruise missiles in modern warfare.",Middle East Institute,1 week ago,Iran
4,"Iran is learning from Russia, North Korea nuclear threats - analysis","The future Iran playbook is being written in Ukraine and also the Korean 
peninsula. Watching the language of Russia and North Korea is a...",The Jerusalem Post,1 week ago,Iran
5,How the Yemen War Connects to Saudi Arabia and Iran,"Yemen was already the Arab world's poorest country before its civil war 
began in 2014. Then a Saudi-led coalition joined the fight against...",The New York Times,1 month ago,Iran
6,Iran Shows Why Sanctioning Russia Won't Stop Putin's War in Ukraine,"The atrocities in Bucha, Mariupol, and other Ukrainian cities have taken 
the severity of Russia's war in Ukraine to a whole new level.",Foreign Policy,3 weeks ago,Iran
7,Israeli air raids in Syria kills nine: War monitor,"Israel is believed to have conducted hundreds of missile attacks in Syria, 
but rarely discusses them.",Al Jazeera,2 weeks ago,Iran
8,How concerned should we be about the Iranian drone threat?,"MILITARY AFFAIRS: Iran set its goal as perfecting several cheap kamikaze 
munitions, called “loitering munitions,” which are a combination of...",The Jerusalem Post,3 days ago,Iran
9,Israel’s ‘War Between the Wars’ With Iran Expands Across Middle East,"The Israeli military says it has carried out more than 400 airstrikes 
targeting Iran and its allies.",The Wall Street Journal,1 month ago,Iran
10,Iran rules out prisoner exchange with Sweden: Judiciary,"Iran's judiciary dismissed Tuesday the possibility of a prisoner swap that 
would see a former Iranian official on trial for war crimes in...",Al Arabiya,1 hour ago,Iran
11,"Tehran Says Iranian-Swedish Djalali's Execution On Track, Not Related To 
Nouri Trial","Iran's judiciary says the death sentence of Swedish-Iranian national ... 
the war crimes trial of Nouri, a former Iranian judiciary official,...",Radio Free Europe,2 hours ago,Iran
12,Opinion | Iran's false equivalence Hamid Nouri,"A court in Sweden is preparing to issue a verdict in the war crimes trial 
of Hamid Nouri, a former Iranian official who is implicated in the...",The Washington Post,55 mins ago,Iran
13,Syria's Bashar Assad pays rare visit to ally Iran,"Syrian President Bashar Assad has visited Iran for only the second time 
since the civil war broke out in his country.",DW,1 day ago,Iran
14,Syria’s President al-Assad meets Iran’s Khamenei in Tehran,"This was al-Assad's second visit to Iran since the start of the Syria war 
in 2011. His first visit took place in 2019. Iran has been al-Assad's...",Al Arabiya,1 day ago,Iran
15,Swedish man detained in Iran as relations sour over war ...,"Relations between Sweden and Iran are tense after Sweden detained and put 
on trial a former Iranian official on charges of war crimes for...",Reuters,3 days ago,Iran
16,How the pro-Iran deal lobby became the Russia appeasement lobby,"For an American public that was fatigued by the war in Iraq, which the 
Obama administration had left in 2011, avoiding war with Iran made...",The Jerusalem Post,1 day ago,Iran
17,Red Cross chief on Iran visit talks Afghans' plight,"Talks with Iranian officials at the foreign and interior ministries also 
focused on the fate of missing persons from the Iran-Iraq war in...",France 24,15 hours ago,Iran
18,"Qatari Emir to Visit Iran, Europe With Nuclear Talks in Limbo","A key point of contention is the terrorist designation placed by the U.S. 
on the Islamic Revolutionary Guard Corps, a branch of Iran's military.",Bloomberg.com,22 hours ago,Iran
19,Iran FM says diplomacy is only solution to Ukraine war,"TEHRAN – Iranian Foreign Minister Hossein Amir Abdollahian said on Sunday 
that the Islamic Republic is against war anywhere in the world,...",Tehran Times,1 day ago,Iran
20,"In Iran, Russia's war on Ukraine is a political flash point","The war also exposes deeper fault lines even within Iran's domestic 
politics. Among ordinary Iranians, there is a great deal of sympathy for...",AP News,3 weeks ago,Iran
21,"Amid war in Ukraine, Russia withdraws and Iran expands in ...","Amid war in Ukraine, Russia withdraws and Iran expands in Syria · PARIS — 
Since the Russian invasion of Ukraine began on February 24, Moscow has...",Syria Direct,5 days ago,Iran
22,The status of Iran nuclear deal talks,"For weeks, talks between world powers and Iran over reviving the 2015 
nuclear deal have been stalled — partly because of the war in Ukraine.",NPR,4 days ago,Iran
23,Ukraine war delays Karl Bushby's 24-year global walk attempt,"The ex-paratrooper reached Turkmenistan, on the Iranian border, in 2019 but 
encountered visa problems, forcing him to put his expedition on hold...",BBC,1 day ago,Iran
24,Why Russia risks losing Syria to Iran | Nikola Mikovic | AW,"As Russia expert Alexey Malashenko explains, if Syria's civil war 
reignites, Moscow would have no choice but to withdraw Russian troops from 
the...",The Arab Weekly,3 days ago,Iran
25,Iran warns Israel against hostile military action,"War of words. Raisi also said Iran is ""closely"" watching every move by 
Israel and claimed its military is a deterrent. Tehran has accused Israel...",DW,3 weeks ago,Iran
26,Unidentified aircraft target Syrian regime: War monitor,"Unidentified aircraft struck oil-rich areas in eastern Syria held by 
government and Iran-aligned groups on Saturday, an opposition war...",Al Arabiya,2 days ago,Iran
27,"Mark Esper ""60 Minutes"" interview: Key takeaways","Esper: We had to stop Trump team ideas for military action in Venezuela, 
Iran · ""These ideas would happen, it seemed, every few weeks,"" Esper...",Axios,1 day ago,Iran
28,Iran summons Swedish ambassador over ex-official’s trial,"Noury, who has been on trial in Stockholm since last August, faces charges 
including crimes against humanity and war crimes for being involved...",Al Arabiya,1 week ago,Iran
29,Will Russia's Ukraine War Prompt an American Awakening on ...,"Iranian Ballistic Missile. Image Credit: Creative Commons. President Joe 
Biden has revamped U.S. goals in Ukraine from de-escalation and...",19FortyFive,4 days ago,Iran
30,Opinion | Iran is still waging war on the victims of its crackdowns,"Masih Alinejad is an Iranian journalist, author and women's rights 
campaigner. She hosts “Tablet,” a talk show on Voice of America's Persian...",The Washington Post,2 weeks ago,Iran
31,Bomb Iran to stop a wider war in Europe and protect Taiwan,"In response, the Biden administration should show the grit and 
determination necessary to finally launch military strikes against Iran's 
nuclear...",Jewish News Syndicate,4 weeks ago,Iran
32,Syrian president meets Iranian leader in Tehran,"Assad was able to turn the tide of Syria's civil war, which erupted from 
pro-democracy protests in 2011, with crucial help from Iran's proxy...",The Jerusalem Post,2 days ago,Iran
33,Russia ‘using weapons smuggled by Iran from Iraq against Ukraine’,"Russia is receiving munitions and military hardware sourced from Iraq for 
its war effort in Ukraine with the help of Iranian weapons...",The Guardian,1 month ago,Iran
34,"Ukraine war stalls Iran nuke deal. That's not necessarily good news for 
Israel","Ukraine War Stalls Iran Nuke Deal. That's Not Necessarily Good News for 
Israel. The more adamant the American rhetoric on Russia becomes, the...",Haaretz,1 week ago,Iran
35,"Russia’s war in Ukraine jolts Iran, Syria and Middle East security","The meeting “forged a new Iranian-Russian alliance in support of Assad,” 
turning the course of the war in their favor. The successful outcome...",The Hill,2 weeks ago,Iran
36,Iran is still waging war on the victims of its crackdowns,"On April 1, Nahid Shirpishe posted a video on her Instagram page detailing 
how agents from the Iranian secret police had recently broken...",News Tribune,2 weeks ago,Iran
37,Iran concerned about extremism spillover from Afghan war - analysis,"Iran, whose leadership is Shi'ite, is concerned that these kinds of attacks 
could destabilize eastern Iran. Recent Iranian media accounts have...",The Jerusalem Post,3 weeks ago,Iran
38,Biden’s Middle East Opportunity,"Since then, the war in Ukraine has been hurting Russia in the Middle ... 
and Israeli concerns about American's Iran policy and our long-term...",Wall Street Journal,13 hours ago,Iran
39,Syria donors’ conference in Brussels overshadowed by Ukraine war,"Syria donors' conference in Brussels overshadowed by Ukraine war ... with 
backing from Russia and Iran, have been battling militants,...",Al Arabiya,1 hour ago,Iran
40,SIPRI Has Overstated Iran's Military Spending For Years ...,"This year, the SIPRI Yearbook includes some significant statements about 
Iran's military expenditure—which is estimated at $24.6 billion.",Bourse & Bazaar,5 days ago,Iran
41,Why Ukraine War Won't Slow Iran's Quest To Become A Nuclear Power,"Ali Mottahari, a former deputy-speaker of the Iranian Parliament, recently 
revealed that ""right from the start of our nuclear activity,...",Worldcrunch,3 days ago,Iran
42,"Top Russian Website Briefly Posts Materials Critical Of Kremlin Amid 
Crackdown, War","Iran's judiciary says the death sentence of Swedish-Iranian national ... 
hit during the war, including the Azovstal factory in Mariupol.",Radio Free Europe,23 hours ago,Iran
43,"Analysis: Iran-China relations, military cooperation outlook","During the talks with the Iranian officials, the point of focus was 
upgrading the scientific and military partnership. AhlulBayt News Agency 
(...",ABNA News Agency,1 day ago,Iran
44,"German, Dutch Foreign Ministers Call For Justice During Surprise Visit To 
Ukraine","Iran's judiciary says the death sentence of Swedish-Iranian national ... 
hit during the war, including the Azovstal factory in Mariupol.",Radio Free Europe,57 mins ago,Iran
45,Biden's bane – The growing threat of nuclear war under his ...,"“Lengthening and strengthening of the (deeply flawed) Iran nuclear deal 
that Team Biden promised seems increasingly unlikely at this point—...",Defence Connect,1 day ago,Iran
46,Russian Ambassador Doused With Red Paint At Ceremony In Warsaw,"Poland has been one of the harshest critics of Russia's war in Ukraine. ... 
Iran's judiciary says the death sentence of Swedish-Iranian...",Radio Free Europe,19 hours ago,Iran
47,Iranians Urged to Leave Moldova,"... in Moldova asked all Iranian citizens in Moldova's Transnistria to 
leave that region immediately considering the continuation of war in...",Tasnim News Agency,1 day ago,Iran
48,Iran's Support for Russia's War in Ukraine Undermines Its Anti ...,"Toeing the Kremlin line prescribed to the Russian media, Iran's state 
broadcaster has refused to refer to the onslaught as a “war” or 
“invasion,...",Foreign Policy,9 Mar 2022,Iran
49,"Ignore the War Hawks - on Iran, There is Still Time for a Deal","As the world watches for negotiations on the Iran deal to reach either a 
breaking point or a breakthrough, war hawks in Washington are...",Just Security,10 Feb 2022,Iran
50,There's talk of a military option against Iran. Here's why it's ...,"Over the past decade, as the nuclear crisis between Iran and the West has 
waxed and waned, military strikes on Iran's nuclear facilities by...",Atlantic Council,4 Jan 2022,Iran
51,Israel-Iran conflict escalates to drone war,"Israel-Iran conflict escalates to drone war. Tehran blames Israel for 
attacking last month one of its bases in the west of Iran, allegedly...",Al-Monitor,15 Mar 2022,Iran
52,The Iran War Is Now Around the Corner,"The nuclear deal negotiated by the Obama administration was a means of 
averting war by placing Iran's nuclear program under international...",The Intercept,7 Dec 2021,Iran
53,Houthi-Iran Alliance in Yemen War Threatens New Abraham ...,"Iranian support to the Houthis during Yemen's ongoing civil war has 
significantly altered the group's military capabilities, including by...",Foreign Policy,24 Jan 2022,Iran
54,Israel and Iran need to turn down the heat. The UAE could be ...,"But the Emirates could help defuse tension with Iran at a time when Israeli 
military activity in Syria continues against Iran.",Atlantic Council,1 month ago,Iran
55,Iran's war machine pursues ballistic and nuclear supremacy,"The head of US military operations in the Middle East, Gen. Frank McKenzie, 
recognizes that Iran and its proxies have achieved “overmatch”...",Arab News,8 Jan 2022,Iran
56,War with Iran,"Iran, with its Safavid Majusi government, is also betting on the ... and 
weakening Saudi Arabia through an imposed war that do never serve...",Saudi Gazette,5 Feb 2022,Iran
57,Russia war forces Iran to relocate Kyiv embassy,"Since the outbreak of the Russian war on Ukraine last month, an unspecified 
number of Iranians, mostly university students, have faced...",Al-Monitor,1 month ago,Iran
58,Iran says war games in Gulf were warning to Israel,"Dec 24 (Reuters) - War games conducted this week by Iran in the Gulf were 
... over possible Israeli plans to target Iranian nuclear sites.",Reuters,24 Dec 2021,Iran
59,Iran Is Misreading the War in Ukraine,"Iran Is Misreading the War in Ukraine. The regime in Tehran is mistaken if 
it believes Russia's assault will prod the U.S. to seek a nuclear...",Bloomberg.com,3 Mar 2022,Iran
60,Getting to 'No' With Iran,"With negotiations to revive the 2015 Iran nuclear deal resuming in Vienna 
... What is more, the alternatives to the deal, including military...",War on the Rocks,1 Dec 2021,Iran
61,Iran's War Within: Ebrahim Raisi and the Triumph of the Hard ...,"The Islamic Republic of Iran is a state divided against itself. Since its 
inception in 1979, it has been defined by tension between the...",Foreign Affairs,5 Aug 2021,Iran
62,Iran 'won' the war with Iraq but at a heavy price,"The Iran-Iraq war—the “imposed war” as Iranians call it—left the 
territorial boundaries of the two countries intact—at the cost of a 
million...",Atlantic Council,22 Sep 2021,Iran
63,"As the world shuns Russia over its invasion of Ukraine, Iran ...","Russian and Iranian cooperation in the Syrian Civil War—though not without 
problems—when combined with their mutual antipathy towards the...",Atlantic Council,7 Mar 2022,Iran
64,Why Israel faces new dangers in shadow war against Iran if ...,"Since it unravelled in 2018, Iran has raced ahead with uranium enrichment. 
Although the Iranian government maintains that its nuclear programme...",The Guardian,25 Feb 2022,Iran
65,Iran’s Khamenei: ‘Mafia regime’ of US created Ukraine crisis,"Tehran, Iran – Iran wishes for the war in Ukraine to end but believes the 
crisis ... Iran's Supreme Leader Ayatollah Ali Khamenei has said.",Al Jazeera,1 Mar 2022,Iran
66,"Ukraine war should not hinder Iran deal revival, US analysts say","International sales of Iranian oil, which is currently heavily sanctioned, 
could help mitigate the global energy crisis created by the war,...",Al Jazeera,1 month ago,Iran
67,Iran conducts war games in Strait of Hormuz,"The Iranian military has launched yearly exercises aimed at ""responding to 
aggression."" The war games come as Iranian negotiators are set to...",DW,7 Nov 2021,Iran
68,Perspectives | Iran-Azerbaijan: A new cold war?,"Iran, by contrast, was sidelined by the war: Its peace plans proposed 
during the fighting elicited little interest in Baku, and Tehran has...",Eurasianet,19 Nov 2021,Iran
69,"Covert drone war between Israel and Iran goes public with missile launch on 
Iraq","Iran's claim of responsibility for this weekend's missile launches at 
Irbil, the capital of Iraqi Kurdistan, revealed a bit about the war of...",Haaretz,13 Mar 2022,Iran
70,"As Ukraine war rages, diplomats near Iran nuclear agreement","WASHINGTON (AP) — As the war in Ukraine rages on, diplomats trying to 
salvage the languishing 2015 Iran nuclear deal have been forging ahead...",AP News,1 month ago,Iran
71,"Ukraine War Pushes Biden Toward Venezuela, Iran and Saudi Arabia in Oil Hunt","Ukraine War Pushes Biden Toward Venezuela, Iran and Saudi Arabia in Oil 
Hunt. Rush to offset Russia's rapidly shrinking energy exports has led...",The Wall Street Journal,10 Mar 2022,Iran
72,Monday Briefing: An important lesson for U.S. policy on Iran ...,The Ukraine war and Iran nuclear talks overlap in many more...,Middle East Institute,7 Mar 2022,Iran
73,"Russian Ambassador Tells Iranian Media How Not To Ask About The Invasion Of 
Ukraine","Russia's Ambassador to Iran Levan Dzhagaryan: ""In the eight-year war with 
Iraq, you had a slogan: 'War, war until victory.",Radio Free Europe,11 Mar 2022,Iran
74,How Iran's shadow war is affecting shipping,"The Mercer Street and Asphalt Princess incidents have once again brought 
the shadow war at sea between Iran and Israel into the spotlight.",Ship Technology,12 Nov 2021,Iran
75,"Iran, Russia, China Hold Joint Naval Drill Amid Growing Ties","An Iranian military ship is featured at Russia's annual Navy Day parade in 
St. Petersburg in July. Iran, Russia, and China are holding their...",Radio Free Europe,21 Jan 2022,Iran
76,How the shadow war between Iran and Israel is affecting ...,"The cause of the incident, a suicide drone attack, was attributed by the 
UK, the US and Israeli governments to the Iranian regime as part of the...",Ship Technology,2 Nov 2021,Iran
77,Iran blames NATO 'provocation' for Russian war on Ukraine,"As Ukraine woke up to a pre-dawn invasion by the Russian military, ... ""The 
state broadcaster is covering the war as if Iran is a Russia...",Al-Monitor,24 Feb 2022,Iran
78,Iran suspends scheduled round of talks with Saudi Arabia – report,"... and Iraq for years, and Saudi Arabia has led an Arab coalition waging 
war against the Iran-aligned Houthi movement in Yemen since 2015.",The Guardian,12 Mar 2022,Iran
79,The Looming Threat of a Nuclear Crisis with Iran,"Trump also designated the Islamic Revolutionary Guard Corps, the country's 
most powerful military branch, as a terrorist group—an action that...",The New Yorker,27 Dec 2021,Iran
80,Massive U.S. War Games at Sea Have a Clear Target: Iran,"Massive U.S. War Games at Sea Have a Clear Target: Iran. A 60-nation naval 
exercise is taking place in an unlikely spot: off the Middle East.",Bloomberg.com,14 Feb 2022,Iran
81,Explainer: What's Behind Fresh Tensions On The Iran-Azerbaijan Border?,"Tensions have increased recently between Tehran and Baku over three issues: 
a joint military drill that Azerbaijani troops conducted...",Radio Free Europe,1 Oct 2021,Iran
82,Why Israel is waging a shadow war with Iran's IRGC in Syria,"... strategic threat, allowing Iran and its Hezbollah proxies to attack 
from short range at short notice in the event of a regional war.",Arab News,20 Jan 2022,Iran
83,"Diplomacy, Not War, With Iran","Mark Dubowitz and Matthew Kroenig were wrong when they worked to undermine 
the highly successful nuclear agreement with Iran (JCPOA),...",Wall Street Journal,14 Jan 2022,Iran
84,"Ukraine War: Israel, Saudi Arabia, UAE, Iran and Syria Feel ...","They've all developed military relations with Russia and are counting on 
Moscow to be a repository for prohibited Iranian nuclear material...",Bloomberg.com,3 Mar 2022,Iran
85,EXCLUSIVE: Israel Mulling Large-Scale War Against Iranian Forces In Syria,"Iran International has also learned that Israel is planning to hold the 
military drills in May to prepare for large-scale conflict and to...",Iran International,5 Feb 2022,Iran
86,"Iran Escalates Shadow War With U.S., Israel in Latest Missile ...","But the attack represents a significant escalation for Iran in the lethal 
shadow war it has waged to expel U.S. military forces from Iraq and...",The Heritage Foundation,1 month ago,Iran
87,"Iran, Russia, China start war games to counter 'maritime piracy'","Iran, Russia, China start war games to counter 'maritime piracy' ... Tehran 
(AFP) – Iran, Russia and China began on Friday naval and air drills in...",France 24,21 Jan 2022,Iran
88,Israel's secret war against Iran,"For years Israel and Iran have been waging a hidden war that has so far ... 
Prime Minister Naftali Bennett defined the purpose of this war...",Haaretz,15 Mar 2022,Iran
